rms_ch_0,rms_ch_1,rms_ch_2,rms_ch_3,rms_ch_4,rms_ch_5,rms_ch_6,rms_ch_7,rms_ch_8,rms_ch_9,rms_ch_10,rms_ch_11,rms_ch_12,rms_ch_13,rms_ch_14,rms_ch_15,gesture
8.543712,7.659634,2.228228,1.6837459,1.4866068,1.3416407,1.6031219,5.721451,2.8026774,2.5426364,1.6077936,1.6,1.371131,1.2903488,1.6201851,2.1931713,REST
9.156145,10.492855,2.8653097,1.7691807,1.4764823,1.3435029,1.6673332,5.86643,5.7580376,3.6489725,1.7492856,1.6124516,1.3266499,1.3490738,1.6777962,2.2781572,REST
9.870411,16.37376,5.511352,2.09165,1.5016658,1.473092,1.7720045,5.716205,7.541883,8.037724,3.647602,1.8261982,1.3490738,1.37659,1.6777962,2.392697,REST
7.8863807,20.553709,5.566417,1.8774984,1.3874437,1.5491934,1.7306068,5.3684263,3.3555925,12.279861,3.103224,1.473092,1.5329709,1.948076,2.606722,2.1954498,REST
7.6055903,19.464582,4.388052,1.6941074,1.3490738,1.430035,1.5905974,5.027425,2.8044608,8.087646,1.8774984,1.4265343,1.4747881,1.5459626,1.6552945,2.1095023,REST
7.7942286,19.097775,3.7443292,1.566844,1.3583078,1.371131,1.5732132,5.4111,2.455606,6.136367,1.781853,1.4422204,1.4335271,1.4106736,1.6232682,2.1424286,REST
7.1421285,18.28483,3.6803532,1.5874507,1.4265343,1.3416407,1.5411035,5.3051863,2.2505555,6.0016665,1.67332,1.5411035,1.430035,1.4508618,1.5811388,2.017424,REST
6.8698616,18.999342,3.7589893,1.6015618,1.371131,1.3435029,1.4983324,5.189412,2.182888,6.2609906,1.6881943,1.5491934,1.37659,1.4474115,1.5795568,1.9962465,REST
6.989635,16.903107,3.4029398,1.5508063,1.3416407,1.3114877,1.5049918,5.1739736,2.197726,6.153048,1.6431677,1.5732132,1.3838352,1.4747881,1.554027,1.8986838,REST
6.1457305,15.353664,3.4146743,1.5132746,1.3322912,1.3000001,1.4508618,4.650269,2.285826,6.611354,1.6309507,1.5182227,1.4124447,1.454304,1.524795,1.8371173,REST
6.199597,14.751271,3.1583223,1.4815532,1.2549901,1.2767146,1.4422204,5.064583,2.3611438,6.965989,1.6477257,1.4560219,1.36565,1.4177446,1.5362291,1.8248287,REST
6.318623,13.504999,3.1168895,1.4849242,1.2267845,1.2206556,1.4747881,4.944694,2.4010415,6.88767,1.6462078,1.4577379,1.3619839,1.3802173,1.4764823,1.7421252,REST
5.4516053,13.718966,3.1591136,1.4933184,1.2328827,1.2884098,1.5016658,5.2033644,2.4849548,7.1989584,1.7088008,1.419507,1.3546218,1.3416407,1.4106736,1.7734147,REST
5.217279,15.62306,3.2878566,1.5572411,1.2845232,1.264911,1.5,5.1146846,2.4382372,6.5871086,1.6867127,1.4491377,1.328533,1.3435029,1.454304,1.9157244,REST
5.151699,15.577548,3.2794816,1.5827192,1.3304135,1.3000001,1.5231546,4.9859805,2.42384,6.39492,1.7058722,1.4474115,1.3638182,1.3247641,1.4645818,2.0223749,REST
4.4575777,14.663219,3.177263,1.5604486,1.3982131,1.3490738,1.454304,4.853864,2.426932,6.088514,1.6941074,1.454304,1.4387494,1.3509257,1.4916433,2.0940392,REST
4.8651824,13.887224,3.026549,1.5215124,1.396424,1.317194,1.3910427,4.7154,2.3248656,5.2062464,1.6970563,1.459452,1.4422204,1.3838352,1.5313393,2.152905,REST
4.9117208,10.12571,2.5932605,1.5524175,1.3928388,1.3341664,1.4106736,4.88467,2.2505555,4.356604,1.6385969,1.4899665,1.4798648,1.356466,1.4916433,2.0506096,REST
4.5216146,8.659388,2.4207437,1.4983324,1.4106736,1.3019217,1.4577379,4.8959165,2.1213202,3.2116973,1.67332,1.5524175,1.4508618,1.3619839,1.4798648,1.9899749,REST
11.539281,26.035072,12.031001,4.586938,6.4416614,27.252615,19.88957,7.9318976,14.863042,15.772127,4.807806,3.9179077,12.299593,27.068893,5.4267855,4.1255302,RING FLEXION
11.865075,32.02858,15.281198,5.436451,8.041455,33.502388,25.96411,8.630469,17.655453,21.013687,5.916925,5.921149,16.611443,36.874382,8.085172,4.935585,RING FLEXION
10.582533,34.875996,15.839192,5.51498,9.079372,35.601826,27.873375,8.77069,17.555199,25.02119,6.8487225,6.3792634,19.400517,41.9074,9.021917,5.2649784,RING FLEXION
10.934349,36.983036,17.145699,5.5538273,10.01399,34.418453,28.248539,8.397321,17.744858,27.00935,6.965271,6.3505907,20.842144,43.408928,8.8926935,5.0472765,RING FLEXION
10.835589,36.88184,16.35665,5.5650697,8.812775,30.854984,24.641531,7.754676,16.87987,26.169256,7.563399,5.9883223,20.602427,40.456394,8.142174,4.8584976,RING FLEXION
10.462314,34.453953,14.152385,4.684549,8.448964,27.24445,19.690735,7.191662,14.287057,22.849726,6.909414,4.374357,19.005,35.128834,5.7930994,4.244997,RING FLEXION
10.334892,32.83923,13.901619,4.772316,8.455768,23.96101,18.0143,6.971729,12.850681,19.136353,6.115145,4.3863425,18.486076,31.829075,4.613025,3.8903728,RING FLEXION
9.585667,32.082237,13.128976,4.78905,8.168843,22.844364,15.384733,7.848885,11.883182,18.396196,5.986652,4.505552,17.559044,26.6763,4.4827447,4.058325,RING FLEXION
9.223069,29.397959,11.379587,4.4777226,8.236504,18.742065,13.086635,7.715893,11.409864,17.017197,4.6179,4.2272925,16.152554,23.382364,4.121893,3.8878014,RING FLEXION
8.928045,26.951902,10.2881,4.4743714,7.216301,13.159597,10.319157,7.319836,10.87658,17.75331,5.1439285,4.1743264,16.00578,17.685728,3.6469166,3.766298,RING FLEXION
7.256721,4.6103144,3.1811948,3.2893767,1.7888544,1.5132746,1.6881943,5.331979,4.5563145,3.0372686,2.3259406,1.6911534,1.5066519,1.5874507,1.704406,2.606722,REST
7.1087976,2.9857998,3.1968734,3.0943496,1.7204651,1.4247807,1.6062378,5.4470177,2.931723,2.215852,2.0772579,1.668832,1.4832398,1.471394,1.6807736,2.541653,REST
6.902898,2.8337255,3.1264997,2.8469281,1.6822604,1.3619839,1.5763882,5.483612,2.406242,1.9196354,2.04939,1.6232682,1.4849242,1.421267,1.6807736,2.4789112,REST
6.6951475,2.6580067,2.842534,2.548529,1.6324828,1.5763882,1.4916433,5.283938,2.2836375,1.9065676,1.9183326,1.6046807,1.6,1.430035,1.5524175,2.3874671,REST
5.9232593,2.5109758,2.504995,2.3130066,1.6077936,1.6568041,1.5182227,5.250238,2.3151674,1.8721646,1.8947295,1.6507574,1.8248287,1.459452,1.5491934,2.302173,REST
5.9063525,2.3727622,2.2693613,2.1679482,1.5811388,1.8506756,1.5116217,5.167688,2.4677925,1.7776389,1.9157244,1.6385969,1.8761663,1.471394,1.5394804,2.442335,REST
6.109419,2.329163,2.2461078,2.1,1.534601,1.8734994,1.6077936,5.1990385,2.38642,1.8330302,1.9287301,1.7088008,1.8425525,1.4645818,1.5700318,2.4072807,REST
8.97775,14.571205,5.4428854,2.4248712,3.7636418,22.803179,19.34412,7.137927,10.767776,15.867419,5.7389026,3.4885528,9.080198,26.898514,5.073953,3.9786932,RING FLEXION
8.704884,16.531485,5.891519,2.5039968,4.45926,27.813665,21.416466,7.4343796,11.109006,17.015728,5.992495,4.1605287,11.668119,34.233536,6.124541,4.1460824,RING FLEXION
8.126192,17.617462,7.102464,2.4959967,5.697807,30.276476,23.11677,7.4097905,9.666954,15.775139,5.010489,4.354308,13.4378195,40.392822,6.752407,4.007493,RING FLEXION
9.552486,21.187733,8.599419,2.7018514,6.4303966,30.954159,25.66301,7.4786363,10.255974,17.271942,5.17059,4.6914816,14.753136,43.99869,7.595393,4.2243342,RING FLEXION
10.029955,22.262411,9.196466,2.9291637,7.0210395,30.080393,25.998943,7.7022724,12.237238,16.78943,5.234501,4.7660255,15.9471,45.131695,7.7781744,4.3583255,RING FLEXION
10.191909,22.160212,9.3,2.8930953,7.0700073,25.878466,24.155952,7.315053,12.474374,16.488329,5.3,4.738143,16.539045,45.25235,7.3983107,4.3640575,RING FLEXION
10.022474,20.004625,7.8724203,2.855696,6.564678,23.900522,22.167883,6.881497,12.219247,15.644648,5.001,4.6898828,16.85764,40.06401,6.5806537,4.0459857,RING FLEXION
8.414867,17.035992,6.7793803,2.7138534,5.9455867,20.945286,18.704813,6.8410525,11.933775,15.362617,4.774411,4.7026587,18.149517,35.696777,6.024533,4.0601726,RING FLEXION
7.3661385,19.259802,6.6430416,2.6842132,5.0393453,17.76626,14.948411,7.578918,10.383882,16.460255,4.5271406,4.4961095,17.180656,30.817284,5.5118055,3.9268308,RING FLEXION
7.9117002,19.341795,6.4011717,2.9991665,4.3289723,16.087107,13.131641,7.540889,10.081419,18.529707,4.6706533,4.028027,14.955601,21.4758,4.9249363,3.7249162,RING FLEXION
9.039911,22.494999,7.3157363,3.585387,3.1144822,8.037413,7.83422,7.7974353,11.0097685,19.423311,4.460381,3.354102,11.546211,12.880218,3.7275999,3.6124785,RING FLEXION
8.126807,10.696261,3.2977264,2.0359273,4.554668,18.385048,14.6841755,5.7866225,10.718908,7.2325654,2.8398943,3.1257,9.215748,24.801613,4.4754887,3.1638584,RING FLEXION
10.126945,16.142645,5.439669,2.427962,7.1470275,26.803358,18.230743,6.4737935,13.061202,17.96747,4.5787554,4.592385,13.676439,34.72679,6.068361,4.263801,RING FLEXION
12.607537,21.910158,7.5079956,3.0323257,9.689169,33.750927,25.77237,7.4195685,14.767532,25.648392,5.7636795,6.511144,20.608614,41.866215,9.343715,5.414333,RING FLEXION
13.653388,27.298534,9.130991,3.4416566,10.696027,36.747925,27.566011,8.160576,15.246967,34.124184,6.9494605,7.7752814,26.35204,47.795345,10.26718,5.974948,RING FLEXION
13.940767,30.454638,9.702319,3.7329614,11.654398,39.680412,29.72112,8.91179,14.335969,36.496437,7.178788,8.133573,27.8443,50.386703,10.428327,6.2625875,RING FLEXION
13.586942,30.915207,8.961027,3.4380226,11.391444,36.725468,28.247654,9.09258,13.117927,34.481373,6.695521,7.999687,28.655977,47.900833,10.268641,6.0497932,RING FLEXION
11.955333,27.946466,7.4141755,3.0033317,10.495475,31.680593,21.972939,8.761849,11.490648,31.74492,6.0024996,6.9115844,25.433344,43.124588,7.4501677,5.212485,RING FLEXION
10.844584,25.191666,8.473488,3.3203914,10.198284,26.703184,18.879354,8.655057,10.553199,25.933664,4.8626127,5.73498,21.132914,35.989235,6.227359,4.869805,RING FLEXION
9.99725,22.43056,8.419917,3.846427,8.345957,21.142965,14.622585,8.138489,10.872672,24.776299,4.661545,5.053217,18.831755,29.307934,5.6837487,4.7095647,RING FLEXION
9.089555,20.48292,8.455768,4.3150897,6.694774,16.841911,12.228042,7.2342935,10.881636,25.032179,4.431704,4.1340055,14.291781,21.31971,4.2555847,4.198809,RING FLEXION
8.921884,19.914694,8.494116,4.4288826,4.539824,12.659384,8.75871,7.0320697,13.359454,24.148705,4.389761,3.487836,11.595689,14.869264,3.7027018,4.192255,RING FLEXION
8.123731,4.3387785,2.1201415,1.6477257,1.4142135,1.3892444,1.5984367,6.6944003,4.982971,5.2235045,2.059126,1.7578396,1.4508618,1.459452,1.7277153,2.532785,REST
7.125307,3.6469166,2.044505,1.524795,1.3583078,1.3583078,1.5475787,6.0580525,4.1533117,3.7629776,1.9170289,1.6777962,1.4177446,1.4370108,1.7449929,2.460691,REST
7.0547857,3.5021422,2.0,1.5684388,1.3982131,1.3583078,1.5149257,5.910584,3.7222304,3.4197953,1.9710404,1.6248077,1.4177446,1.4404861,1.7248188,2.3706539,REST
6.4633584,3.472031,2.0868638,1.56205,1.36565,1.3802173,1.5083103,5.8103356,3.7828562,3.566511,1.9078784,1.6031219,1.3583078,1.43527,1.7464249,2.383275,REST
6.3560996,3.5291643,2.2248595,1.6385969,1.3247641,1.3379087,1.5684388,5.6890244,3.7589893,3.6721928,1.9608672,1.6446884,1.3784049,1.4422204,1.8041619,2.3227139,REST
6.309517,3.2365105,2.1988633,1.7846568,1.3435029,1.3322912,1.6186414,5.626722,3.8216488,3.9962482,1.8986838,1.6598192,1.3638182,1.3982131,1.7734147,2.2693613,REST
6.2084618,3.0487702,2.2102036,1.7535678,1.2922847,1.3379087,1.6658331,5.838664,3.9446166,4.058941,1.8960485,1.6777962,1.4071248,1.4335271,1.6807736,2.252776,REST
6.3835726,2.9512708,2.0820663,1.7320508,1.3509257,1.260952,1.6201851,5.660389,4.0902324,4.140652,1.9646883,1.6583124,1.3856406,1.3802173,1.6492423,2.209072,REST
6.8055124,2.8879058,2.0112185,1.6911534,1.3747727,1.294218,1.6598192,5.526753,4.2544093,4.346838,1.9506409,1.5732132,1.3802173,1.372953,1.5763882,2.1377559,REST
6.861851,3.0454884,2.1330729,1.596872,1.3982131,1.2903488,1.5215124,5.3521023,4.2326117,4.1024384,1.9390719,1.5604486,1.4317821,1.3546218,1.5572411,2.209072,REST
6.9238715,3.0594118,2.1201415,1.554027,1.3820275,1.3322912,1.4866068,5.363767,4.204759,3.9503164,1.8920888,1.5033296,1.3747727,1.3133925,1.5313393,2.1886067,REST
6.958089,2.9941611,2.0892582,1.5652477,1.3057564,1.3802173,1.4645818,5.393978,3.9465175,3.607631,1.8841443,1.4662879,1.4089003,1.336039,1.5016658,2.184033,REST
6.6580777,3.1835515,2.0285463,1.5099669,1.356466,1.3379087,1.37659,5.663921,3.8929422,3.502856,1.8179659,1.471394,1.4035668,1.371131,1.5572411,2.3075962,REST
6.635887,2.9487286,1.9595917,1.6140013,1.3874437,1.3619839,1.4577379,5.7497826,3.77293,3.306055,1.8947295,1.5231546,1.405347,1.430035,1.5795568,2.3366642,REST
6.350984,2.946184,1.9352002,1.6703293,1.4247807,1.356466,1.4106736,5.3981476,3.691883,3.3279123,1.8814888,1.5953057,1.3910427,1.3874437,1.5890249,2.345208,REST
6.142068,3.083018,2.046949,1.7378147,1.5033296,1.4089003,1.4577379,5.2915025,3.981206,3.7775655,1.8748333,1.6170962,1.3982131,1.4106736,1.6170962,2.3748684,REST
6.2593927,3.0626786,2.10119,1.7874563,1.496663,1.4,1.4696939,4.9537864,4.208919,3.8884444,1.882817,1.6552945,1.4,1.4035668,1.5779734,2.2825425,REST
6.075772,3.1882596,1.9824228,1.6537836,1.4282857,1.339776,1.5280707,4.9623585,4.2579336,3.9949968,1.8841443,1.6340135,1.4089003,1.4265343,1.5604486,2.1644862,REST
15.22383,6.486139,2.4103942,1.7306068,1.5842979,2.1760056,10.083898,7.778817,9.152049,4.45365,2.9094672,2.116601,1.8774984,8.394938,13.110301,7.111962,THUMB FLEXION
22.611391,8.860869,3.5348268,2.0988092,1.6792855,2.317326,11.063228,9.4667845,16.93399,7.798718,4.834253,2.8195744,2.1,8.997777,15.278089,11.313488,THUMB FLEXION
27.323067,11.635721,4.731807,2.5455844,1.9685019,2.687936,11.072037,9.929502,25.350445,11.3187895,6.742403,3.487836,2.4443812,9.169242,16.03387,13.8170185,THUMB FLEXION
35.481544,15.203947,6.000833,2.9765751,2.238303,2.793743,10.983169,10.717509,29.559687,14.526699,8.535514,3.964215,2.660827,8.796306,15.857491,17.600994,THUMB FLEXION
39.58213,16.163849,6.9357767,3.3,2.3547823,2.884441,11.544479,11.723694,34.752483,17.207556,9.84251,4.363485,2.9325757,8.524084,16.570004,20.731619,THUMB FLEXION
42.655422,16.63325,7.389181,3.4387498,2.4748738,2.9231832,11.054863,11.328505,35.447426,17.83746,10.674971,4.425494,2.9832866,8.042077,15.541718,22.550388,THUMB FLEXION
44.8985,17.961348,7.641335,3.4992857,2.5079873,2.9740546,11.272533,13.024976,36.24976,17.131113,10.436235,4.216634,2.8965497,7.8730555,15.2522135,23.743736,THUMB FLEXION
42.93396,15.985149,7.1651936,3.3630345,2.3043437,2.8731515,10.273996,13.121357,35.98055,15.508546,9.715709,4.0168395,2.7685735,8.101543,14.302972,22.288115,THUMB FLEXION
40.49222,15.311271,6.357672,3.0813959,2.2505555,2.7285528,8.87412,12.2761965,31.75555,13.01211,8.837137,3.8151016,2.5019991,7.704544,11.970589,19.406828,THUMB FLEXION
35.06715,14.14355,5.473116,2.7230496,2.0724382,2.5377154,7.7103825,11.529094,28.731081,11.518897,7.3790245,3.3904276,2.2792542,6.8992753,10.431443,15.95619,THUMB FLEXION
